Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Slovenia;Import;Animal;Import (US$ Thousand);159,408;61,757;107,173;81,905;;3,461;104,873;143,737;46,185;452,089
United States;Solomon Islands;Import;Animal;Import (US$ Thousand);1723,526;1356,744;1255,461;875,027;1042,138;918,507;349,445;1490,043;1602,508;499,512
United States;Somalia;Import;Animal;Import (US$ Thousand);;;9,3;;;;;;;6,38
United States;South Africa;Import;Animal;Import (US$ Thousand);36615,621;36364,107;30142,8;24518,471;31135,763;32332,675;28968,566;33861,316;34398,425;34859,896
United States;South Sudan;Import;Animal;Import (US$ Thousand);;;;;;;;;;14,176
United States;Spain;Import;Animal;Import (US$ Thousand);76614,927;74840,461;81015,419;73030,49;82600,685;104062,809;120591,196;150862,369;210870,229;247915,43
United States;Sri Lanka;Import;Animal;Import (US$ Thousand);21083,374;21004,477;15255,93;14102,588;13957,491;18346,738;36924,637;35910,162;55968,092;62445,334
United States;St. Kitts and Nevis;Import;Animal;Import (US$ Thousand);138,071;497,794;359,209;478,271;176,325;356,458;421,393;412,55;512,656;415,639
United States;St. Lucia;Import;Animal;Import (US$ Thousand);;;;;;;;;193,329;3,3
United States;St. Vincent and the Grenadines;Import;Animal;Import (US$ Thousand);147,033;250,54;42,334;;46,273;64,43;62,446;118,875;98,716;56,305
United States;Suriname;Import;Animal;Import (US$ Thousand);23670,28;25870,784;29971,936;33950,729;32395,755;25482,557;25800,052;31844,941;36560,811;32136,695
United States;Sweden;Import;Animal;Import (US$ Thousand);6822,127;8564,193;5481,557;4302,792;5876,339;5347,335;5403,139;5470,399;2845,787;3794,093
United States;Switzerland;Import;Animal;Import (US$ Thousand);49669,101;54273,233;60535,554;52653,19;66035,555;63856,212;66452,975;83816,254;86019,37;92452,512
United States;Syrian Arab Republic;Import;Animal;Import (US$ Thousand);321,091;27,988;5,368;;172,595;27,245;6;;;
United States;Tajikistan;Import;Animal;Import (US$ Thousand);;;;;;;;5,04;;
