Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Gabon;Export;Vegetable;Export (US$ Thousand);170,024;159,889;300,513;221,956;194,298;134,691;210,433;157,903;551,999;54,747
United States;Gambia, The;Export;Vegetable;Export (US$ Thousand);1858,824;121,713;88,394;2469,133;3346,55;10,38;;1987,71;;9,252
United States;Georgia;Export;Vegetable;Export (US$ Thousand);9389,459;1003,383;2077,18;1373,157;4747,773;8604,354;7889,296;1573,092;3331,346;3053,521
United States;Germany;Export;Vegetable;Export (US$ Thousand);580631,728;885744,621;1357991,073;927901,853;1090631,132;1004797,257;1606240,389;1628272,316;1578391,876;1719672,138
United States;Ghana;Export;Vegetable;Export (US$ Thousand);45048,744;53339,75;38253,772;23006,835;46187,785;72683,617;97826,209;79460,647;35782,684;18888,373
United States;Gibraltar;Export;Vegetable;Export (US$ Thousand);;;;;76,727;;8,215;26,712;26,244;30,538
United States;Greece;Export;Vegetable;Export (US$ Thousand);69427,737;72766,931;73627,467;51534,387;65311,447;48600,062;30925,542;38632,18;54190,435;34481,97
United States;Greenland;Export;Vegetable;Export (US$ Thousand);;;12,484;;;;;;;
United States;Grenada;Export;Vegetable;Export (US$ Thousand);6688,178;7366,938;17813,045;6176,098;8764,822;15200,346;10811,649;7982,613;7324,547;6248,406
United States;Guatemala;Export;Vegetable;Export (US$ Thousand);319476,769;391603,865;482823,881;355105,848;403771,91;551188,443;445459,215;385882,615;484713,716;464432,722
United States;Guinea;Export;Vegetable;Export (US$ Thousand);4376,645;7635,695;5802,123;7753,685;4114,18;4827,273;2153,516;3188,675;1782,43;1897,131
United States;Guinea-Bissau;Export;Vegetable;Export (US$ Thousand);1411,366;;;;2111,74;9398,286;2661,753;4718,251;;
United States;Guyana;Export;Vegetable;Export (US$ Thousand);7401,209;6000,823;14123,033;8866,242;11630,991;18268,611;15842,501;16640,196;22304,416;29125,082
United States;Haiti;Export;Vegetable;Export (US$ Thousand);158674,118;188095,84;332168,986;244662,245;243698,439;209721,583;237319,064;268796,712;240515,388;245383,13
United States;Heard Island and McDonald Isla;Export;Vegetable;Export (US$ Thousand);159,18;;;;;27,75;;;;
United States;Holy See;Export;Vegetable;Export (US$ Thousand);365,287;;80,766;189,2;220,121;;9,262;22,535;13,91;
United States;Honduras;Export;Vegetable;Export (US$ Thousand);164999,25;201643,711;265289,457;240064,703;229979,761;348943,158;305318,761;259409,215;298932,258;265484,203
United States;Hong Kong, China;Export;Vegetable;Export (US$ Thousand);322874,487;402725,724;559164,409;896876,196;1066117,877;1292903,566;1659381,081;1707533,269;1403749,744;1276662,718
United States;Hungary;Export;Vegetable;Export (US$ Thousand);7326,017;11141,093;7632,012;16841,311;14252,253;9384,162;13251,966;20203,362;34834,794;25860,281
United States;Iceland;Export;Vegetable;Export (US$ Thousand);6364,587;6935,935;9952,311;5345,674;4572,799;5527,217;5581,425;6830,124;7324,815;6798,25
United States;India;Export;Vegetable;Export (US$ Thousand);251333,177;319072,318;306800,565;493926,376;568691,315;494690,022;670542,198;643012,841;804474,654;915058,537
