Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
United States;Russian Federation;Export;Animal;Export (US$ Thousand);680407,289;1063053,183;1457071,067;1103300,851;814199,556;883185,326;1202363,072;576195,144;385356,418;26899,043
United States;Rwanda;Export;Animal;Export (US$ Thousand);;;31,65;30;187,367;178,95;;;;
United States;Saint Helena;Export;Animal;Export (US$ Thousand);;;27,888;3,109;;4,36;;;;
United States;Saint Maarten (Dutch part);Export;Animal;Export (US$ Thousand);;;;;;12112,509;20712,473;24411,801;24869,359;23232,239
United States;Saint Pierre and Miquelon;Export;Animal;Export (US$ Thousand);329;;;;;;;;;
United States;Samoa;Export;Animal;Export (US$ Thousand);5293,487;7914,067;6901,337;8310,852;10352,258;13462,395;10951,021;10917,607;9829,102;10828,387
United States;San Marino;Export;Animal;Export (US$ Thousand);2902,645;2763,144;2127,776;483,447;601,831;32,705;173,282;;1276,8;
United States;Sao Tome and Principe;Export;Animal;Export (US$ Thousand);2,6;21,512;26,466;;;;;708,897;;
United States;Saudi Arabia;Export;Animal;Export (US$ Thousand);40332,659;56745,859;110474,12;75937,281;100200,687;160387,367;157282,086;182603,296;182869,03;110851,266
United States;Senegal;Export;Animal;Export (US$ Thousand);752,489;655,835;1671,857;1106,225;673,793;1011,11;632,542;404,332;1063,388;201,695
United States;Serbia, FR(Serbia/Montenegro);Export;Animal;Export (US$ Thousand);901,936;2790,299;5651,611;9083,977;5771,529;6909,827;9084,058;7894,03;10958,875;9277,779
United States;Seychelles;Export;Animal;Export (US$ Thousand);123,99;199,128;279,439;;15,2;370,291;397,55;834,26;617,657;1154,649
United States;Sierra Leone;Export;Animal;Export (US$ Thousand);1089,756;2939,84;2998,027;2224,778;5042,929;7829,071;17641,452;9141,896;7094,682;6652,409
United States;Singapore;Export;Animal;Export (US$ Thousand);48576,349;58442,976;112689,677;76181,969;111900,963;171988,79;160752,833;168954,995;214724,491;130377,883
United States;Slovak Republic;Export;Animal;Export (US$ Thousand);704,728;573,815;760,596;509,064;145,261;208,032;191,528;261,586;260,719;111,375
United States;Slovenia;Export;Animal;Export (US$ Thousand);521,164;288,056;183,39;277,517;178,548;111,732;26,548;344,349;63,977;435,629
United States;Solomon Islands;Export;Animal;Export (US$ Thousand);159,06;285;460;936;114,67;294;513,44;45;100,146;
United States;Somalia;Export;Animal;Export (US$ Thousand);;138,391;;;;;483,574;;65,68;19,933
United States;South Africa;Export;Animal;Export (US$ Thousand);19007,425;26220,396;30581,399;23190,933;35509,509;53933,893;62672,117;42818,557;33821,676;12466,374
United States;Spain;Export;Animal;Export (US$ Thousand);108976,504;146865,468;138492,646;127970,549;127380,621;156388,602;150512,957;127505,509;150572,831;137849,052
United States;Sri Lanka;Export;Animal;Export (US$ Thousand);883,356;2904,961;1054,882;1114,463;1238,007;2338,062;10726,744;16938,613;22487,963;15689,138
United States;St. Kitts and Nevis;Export;Animal;Export (US$ Thousand);2832,07;2865,236;4785,834;4377,691;4923,875;5702,955;5878,046;6553,472;6796,421;7489,724
United States;St. Lucia;Export;Animal;Export (US$ Thousand);6162,726;9148,124;14349,398;12412,81;15460,659;17178,963;17124,936;17285,04;19419,401;16826,019
